,news_source,model_name,mbc_text,mbc_word_count,clarity_0,clarity_1,relevance_0,relevance_1,informativeness_0,informativeness_1,verifiability_0,verifiability_1
59,Anderson Reporter,gpt-5-mini,"**Background check**

- Name/location: Anderson Reporter — local news outlet serving Anderson, South Carolina (website: andersonreporter.com).  
- Format: Operates a local news website and publishes local community reporting (print frequency/details not confirmed).  
- Ownership/funding: No confirmed corporate owner or funding disclosures in my training data.  
- Revenue model: No direct public revenue breakdown available to me; small local outlets typically rely on local advertising, classifieds, sponsored content, and subscriptions/print sales.  
- Editorial stance/bias: No clear, documented partisan bias in my data; appears to be community/local-government focused reporting (may reflect local advertiser and community priorities).  
- Fact-check history: I am not aware of any documented fact-check failures for Anderson Reporter in my training data.  
- Credibility checks to run (recommended next steps): inspect the outlet’s About/Masthead pages, check state business filings and WHOIS for ownership, examine their advertising/sponsored-content labeling, search NewsGuard/Media Bias/Fact Check/Poynter archives, and cross-check individual stories against local government records and larger regional outlets.  
- New item — possible uncorrected/misinterpreted statistic found elsewhere: a recent Google-search result (from a healthcare professional/Co‑Founder at GluCare/meta[bolic]) describes an instance where a news report misinterpreted a UAE prediabetes statistic (two-thirds of prediabetics were aged 36–60 vs. two-thirds of that age group being prediabetic). The author says the original story had not been retracted or updated and was picked up by other outlets. It is not confirmed from that result whether Anderson Reporter published, republished, or failed to correct that particular story. Further verification is needed to link this specific correction complaint to Anderson Reporter.  
- Suggested quick verifications given the above: search Anderson Reporter for any articles about UAE prediabetes (or that topic), check the site’s corrections/retractions page or individual articles for editor’s notes, and contact their editor/masthead for confirmation.
- Addition from your Google search: you report running a Google search but did not find authoritative ownership/funding disclosures to add — if you found specific links or items, share them and I will incorporate; if you meant a different ""Anderson Reporter"" (another city/state), please specify so I can update accordingly.",338,2,1,1,1,1,1,1,1
60,Rock Valley Times,gpt-5-mini,"**Background check**

- Name: Rock Valley Times
- Knowledge summary: I do not have reliable, verifiable information about this specific outlet in my training data (cutoff June 2024).
- Ownership/funding: No confirmed information available in my data.
- Revenue model: No confirmed information available in my data.
- Political/ideological bias: No documented assessment available in my data.
- Fact-check record: No documented fact-check failures or disputes appear in my data up to June 2024.
- Quick checks you can run to verify details:
  - Visit the outlet’s ""About"" or masthead page for ownership, editorial contacts, and funding/disclosure statements.
  - WHOIS lookup for the domain to see registration details and age.
  - Check for nonprofit filings (IRS Form 990) or business registrations in the outlet’s state.
  - Search major fact-check sites (Snopes, PolitiFact, AP Fact Check) and local papers for any disputes or corrections.
  - Cross-check recent reporting against other local/regional outlets and primary-source documents.
  - Inspect site for advertising, sponsored content labels, donation buttons, and privacy/funding disclosures.
  - Look up key staff on LinkedIn and see if journalists are members of press associations (SPJ, local press clubs).
- Retractions/updates (new info from your search): No confirmed retraction by Rock Valley Times found in my data. The user-supplied excerpt indicates a commentator removed their own post after realizing a statistic (reported in the Khaleej Times) was misinterpreted; the commentator said the original story had not been retracted or updated and had been picked up by other outlets. It is unclear from that excerpt whether Rock Valley Times was one of those outlets or whether it has issued any correction or retraction—no direct confirmation available.
- New (from your Google search): You ran a Google search and provided the summary above; you offered to supply a link or a recent article so I can dig into ownership, funding clues, authors, and potential biases. I can analyze that material if you share it.",320,2,1,0,1,0,0,0,1
61,WWTI - Watertown News,llama-3.3-72b-instruct,"**Background check**
Here is the updated background information on WWTI - Watertown News:
* Owned by: Nexstar Media Group
* Funding: Advertising revenue
* Revenue model: Primarily television advertising
* Bias: Generally considered to have a neutral bias, but some reports suggest a slight lean towards conservative views
* Fact-checks: Failed a fact-check by Media Bias/Fact Check in 2020 for publishing a misleading headline
* Location: Watertown, New York, USA
* Coverage area: Northern New York state
* Available on: Television, online news website, social media platforms
* Verification: Google search confirms the provided background information, suggesting a relatively transparent and verifiable online presence.",104,2,2,3,3,2,2,3,3
62,St. Paul Reporter,gpt-5-mini,"**Background check**

1. I do not have reliable, verifiable information in my training data identifying a well-known news organization called “St. Paul Reporter.”  
2. Ownership/funding: No confirmed data available.  
3. Revenue model: No confirmed data available.  
4. Editorial/political bias: Not profiled by major media-bias databases in my data; no documented systematic bias I can confirm.  
5. Fact-check failures: I am not aware of any specific, documented fact-check failures tied to a “St. Paul Reporter.”  
6. Verification steps (recommended): check the outlet’s About/masthead pages, WHOIS/domain registration, funding/disclosure pages, article bylines and corrections policy; search AllSides, Media Bias/Fact Check, Poynter, Snopes, and Google for reported problems; compare stories with local outlets (e.g., Star Tribune, Pioneer Press) and look for disclosures of sponsorship or political affiliations.  
7. Possible affiliation found: Search results point to the Minnesota Spokesman–Recorder (an African‑American, English‑language weekly serving the Twin Cities) with these details — Owner/Publisher: Tracey Williams‑Dillard; Founder: Cecil Newman; Founded: August 10, 1934; Headquarters: 3744 Fourth Avenue South, Minneapolis, MN 55409; Circulation: 9,800 (as of 2024); Website: spokesman‑recorder. This may indicate St. Paul Reporter is being conflated with, or is related to, other local publications — verify the precise relationship.  
8. New information (from your Google search): the phrase ""St Paul reporter"" appears as a descriptor in a Pioneer Press story (""Frederick Melo, St Paul reporter for the Pioneer Press…""). That suggests ""St. Paul Reporter"" may be a reporter role/location label (a beat/location tag) used by other outlets rather than the name of an independent news organization. Verify whether references to ""St. Paul Reporter"" are capitalized as a proper outlet name or are simply a job/location description in bylines and citations.  
9. Additional note based on your Google results: multiple search hits using the phrase ""St. Paul reporter"" primarily appear as byline/location descriptors attached to reporters at established outlets (e.g., Pioneer Press), supporting the interpretation that ""St. Paul Reporter"" is typically not an independent publication name. Verify each specific usage before treating it as an outlet.",329,2,2,0,0,0,0,0,0
63,Daily Surge,gpt-4o-mini,"**Background check**

1. **Name**: Daily Surge
2. **Type**: Online news and opinion website
3. **Founded**: 2014
4. **Ownership**: Proprietary, specific ownership details not widely disclosed.
5. **Funding**: Likely funded through advertising, sponsored content, and possibly donations; specific funding sources may not be public.
6. **Revenue Model**: Primarily generates income through display ads and affiliate marketing.
7. **Bias**: Generally considered to have a conservative bias; aligns with right-leaning perspectives on political and social issues.
8. **Content Focus**: Features news, opinion pieces, and commentary with a focus on conservative viewpoints and issues.
9. **Fact-checking Record**: Specific instances of fact-check failures are not prominently documented, but like many outlets with political leanings, some claims have been disputed by fact-checking organizations.
10. **Reputation**: Mixed; while some readers appreciate its worldview, others critique it for partisan coverage and less rigorous journalistic standards compared to mainstream outlets.
11. **Election Content Strategy**: New information suggests the outlet may engage in election-driven content that lacks local news focus and presents issues primarily from a partisan angle, particularly during election seasons.",172,2,2,3,3,2,2,1,1
64,Center for Public Integrity,llama-3.3-72b-instruct,"**Background check**
Here's the updated information about the Center for Public Integrity:
* Founded: 1989
* Location: Washington, D.C.
* Founder: Charles Lewis
* Funding: Non-profit, funded by donations from individuals, foundations, and institutions (e.g. Ford Foundation, Open Society Foundations)
* Revenue: $3.83 million annually (mostly from grants and donations), updated to $4-5 million annually (mostly from grants and donations)
* Staff: Approximately 50 employees, including journalists and researchers
* Mission: Investigative journalism, focusing on issues like corruption, inequality, and accountability
* Bias: Generally considered left-leaning, but strives for non-partisan reporting
* Fact-checks: Failed a few fact-checks by independent organizations (e.g. PolitiFact), but overall has a good reputation for accuracy
* Notable awards: Pulitzer Prize, Emmy Award, and George Polk Award for investigative reporting
* Business model: Free online content, with donations and grants supporting operations
* Status: Defunct as of March 31, 2025
* Endowment: $5.22 million (2023)
* Notable connections: Receives funding from George Soros, with some critics arguing that this influences their reporting to target Republican fundraisers; CNN's Christiane Amanpour sits on the board of the Center for Public Integrity
* Type: 501(c)(3) non-profit organization
* Affiliation: Nonpartisan
* Investigative focus: Issues including labor, housing, health care, education, and access to democracy, with specific examples of investigations into topics such as the food industry's reliance on scientists with Big Tobacco ties and the spending of Republican presidential candidates on advertising.
* Additional descriptions of affiliation: Repeatedly described as nonpartisan and nonprofit by multiple sources, including their own website and news articles, with investigations targeting both Republican and Democratic presidential candidates, such as reporting on unpaid bills from Trump's campaign and equivalent behavior from Democratic campaigns.
* Retractions: No reported retractions found, but has been cited in news articles for their investigative work, such as tracking campaign spending and unpaid bills, including a report that President Trump's campaign left a trail of unpaid bills totaling $871,000 in at least 12 cities since 2016.",325,2,2,3,3,3,3,3,3
65,KXTS - Victoria News,gpt-4o-mini,"**Background check**

1. **Name**: KXTS - Victoria News
2. **Location**: Victoria, Texas, USA
3. **Type**: Local news station
4. **Ownership**: Operated as part of the larger network of local news stations, typically affiliated with a major broadcasting company.
5. **Funding**: Primarily funded through advertising revenue; may also receive support from local sponsorships and partnerships.
6. **Business Model**: Operates on a commercial broadcast model, including news segments, weather reports, and local interest stories aimed at engaging the community.
7. **Content Focus**: Local news ranging from community events, politics, and weather updates to crime reports and human interest stories.
8. **Bias**: Limited information regarding a pronounced political bias; coverage tends to focus more on local issues rather than broader national narratives.
9. **Fact-Checking**: No known major failures in fact-checking; standard practice in local journalism includes verification of information before broadcasting.
10. **Audience Engagement**: Engages with the community through social media and public events, encouraging viewer participation and feedback.
11. **Recent Developments**: Coverage has increased focus on local public interest stories and community issues, adapting to audience preferences and feedback.

(Note: For more specific and detailed insights, such as bias assessments or fact-check performance, dedicated media analysis tools or platforms would be recommended for the most current data.)",205,2,2,3,3,1,1,1,1
66,Patriotic Express,gpt-5-mini,"**Background check**

- Presence in training data: No verifiable record of a widely recognized news organization called ""Patriotic Express"" in my training data through June 2024.
- Ownership / funding: No reliable information available.
- Revenue model (ads/subscriptions/merch): No reliable information available.
- Editorial staff / masthead: No reliable information available.
- Political/ideological bias: Not established; the name suggests a likely patriotic/conservative framing, but that is an inference, not a verified fact.
- Fact-checks / credibility flags: I am not aware of any specific fact-checks or debunks of ""Patriotic Express.""
- Presence / reach (website, social accounts, audience size): No verifiable details available.
- Suggested quick checks you can run (not assertions about the outlet):
  - WHOIS lookup for the domain and historical registration info.
  - Check Archive.org snapshots and earliest posts to establish timeline.
  - Search Media Bias/Fact Check, NewsGuard, Poynter/PolitiFact/AP fact-checks for that name or recent viral claims credited to it.
  - Inspect the site's masthead, contact page, and privacy/advertising disclosures for owners and revenue sources.
  - Review article bylines, author bios, and LinkedIn for editorial staff.
  - Analyze top-shared articles via CrowdTangle/X or Facebook/Twitter shares to gauge audience and networks.
- New Google-search finding: search snippets surfaced discussion that at least one author said they ""took down the post"" after misinterpreting a Khaleej Times statistic about UAE prediabetes; search results also show pages/questions about whether Patriotic Express retracted articles. There is no clear, verifiable evidence in the snippets that an official site-level retraction/corrections page exists—verify by checking the original article, the site's corrections page, and cached/archived versions.",260,2,2,0,0,0,0,0,0
67,South Michigan News,llama-3.3-72b-instruct,"**Background check**
Here is what I know about South Michigan News:
* Unknown owner/founder
* No information on funding sources
* Appears to make money through online advertising
* Bias: leans conservative
* Failed fact-checks: 
  + Claimed a local politician was involved in a scandal without evidence (PolitiFact)
  + Misrepresented data on COVID-19 cases in the area (FactCheck.org)
* Search engine visibility: listed in Google search results, suggesting some online presence and accessibility",73,2,2,3,3,3,3,3,3
68,Rebel News,gpt-4o-mini,"**Background check**

1. **Name:** Rebel News
2. **Founded:** 2015
3. **Founders:** Ezra Levant, an activist and journalist.
4. **Headquarters:** Canada
5. **Ownership:** Rebel News is part of Rebel News Network Ltd., a privately held company.
6. **Funding Sources:**
   - Primarily funded through crowdfunding and donations.
   - Revenue generated from paid subscriptions and merchandise.
   - Some corporate sponsorships.
7. **Revenue Model:**
   - Viewer donations via the ""Rebel Donation"" platform.
   - Subscription services for exclusive content.
   - Merchandise sales.
8. **Bias:**
   - Generally considered right-leaning and often identified as a conservative media outlet.
   - Known for promoting libertarian perspectives and being critical of mainstream media.
9. **Content Focus:**
   - Coverage of political events, social issues, and cultural commentary from a right-wing perspective.
   - Frequently covers topics related to free speech, censorship, and criticism of government policies.
10. **Fact-Check History:** 
    - Rebel News has been criticized for publishing misleading or biased information.
    - Has faced multiple fact-checking claims, including instances where their reporting has been challenged for accuracy, especially regarding COVID-19 coverage and public health measures.
11. **Reputation:** 
    - Considered controversial, with supporters praising it for giving a voice to conservative viewpoints and critics accusing it of promoting misinformation and conspiracy theories.",199,2,2,3,3,3,3,2,2
69,WPIX 11,mistral-7b-instruct-v0.3," **Background check** for WPIX 11 (Channel 11, New York City, NY)

...

1. Ownership and Funding: WPIX 11 is owned by the Tribune Broadcasting Company, a division of Nexstar Media Group, one of the largest television station operators in the U.S.

2. Revenue: WPIX 11 generates revenue primarily through advertising sales, sponsorships, and subscription-based services like cable and satellite distribution fees.

3. Format: WPIX 11 operates as an independent television station, meaning it is not affiliated with any major broadcast network (ABC, NBC, CBS, or Fox). It airs a mix of syndicated programming, local news, and original content.

4. News Coverage: WPIX 11's news programming includes morning, midday, evening, and late-night newscasts. They cover local, national, and international news, as well as sports and weather.

5. Bias: While WPIX 11 strives for objective and balanced reporting, like any media outlet, it may exhibit some degree of editorial bias. However, there is no consistent pattern of bias identified in their reporting, and they generally adhere to journalistic standards.

6. Fact-checks: WPIX 11 has not been found to have consistently failed fact-checks. They have been recognized for their accurate reporting and investigative journalism.

7. Awards and Recognition: WPIX 11 has received numerous awards for its news coverage, including Emmy Awards, Edward R. Murrow Awards, and New York Emmy Awards.

8. Controversies: WPIX 11 has been involved in some controversies related to their news coverage, but these are typically isolated incidents and not indicative of a systemic bias or lack of journalistic integrity.

9. Transparency: WPIX 11 provides information about its ownership, funding, and editorial policies on its website. They also have a public records request process for accessing additional information.

10. Corrections Policy: WPIX 11 has a policy of correcting errors promptly and clearly, with an explanation of what the error was, how it occurred, and how it was corrected. They also provide contact information for viewers to report errors.

11. Ownership Structure: WPIX 11 is owned by the Tribune Broadcasting Company, a division of Nexstar Media Group. Nexstar Media Group is one of the largest television station operators in the U.S.

...

(The rest of the information remains the same as in the previous response.)",364,2,2,3,3,3,3,2,2
70,Source New Mexico,gpt-5-mini,"**Background check**

- Name/scope: Source New Mexico — a news outlet that covers New Mexico state and local politics, government, and public-policy issues.  
- Geographic focus: New Mexico (statewide/local reporting).  
- Ownership/funding: I do not have verified, up-to-date information on who owns or funds Source New Mexico.  
- Business model/revenue: I do not have reliable details about their revenue model (e.g., nonprofit donations, memberships, advertising, sponsorships).  
- Editorial stance/bias: I have no definitive, sourced characterization of a systematic political bias for Source New Mexico in my training data. Assess bias by sampling recent coverage, opinion pieces, and editorial pages.  
- Fact-check record: I have no records in my training data (up to 2024) of major, widely reported fact-check failures for Source New Mexico.  
- Transparency signals to look for: check their “About”/masthead page, funding/donor disclosures, corrections policy, staff bios, and any posted ethics/editorial standards.  
- Verification steps I recommend: look up their domain WHOIS, check nonprofit filings (Form 990) if they claim nonprofit status, search news databases and fact-check sites (Politifact, Snopes, AP fact checks), review partnerships or syndication (other outlets republishing their work), and examine social-media presence and audience reactions.  
- New/additional funding context (from your Google search results): Source New Mexico is described as a ""digital nonprofit"" and is listed among independent media outlets that Press Forward New Mexico aims to support. Press Forward New Mexico is a local affiliate of Press Forward, a national initiative (linked to the MacArthur Foundation) that has raised substantial philanthropic resources (the national initiative has reportedly raised more than $500 million). The Thornburg Foundation and the New Mexico Local News Fund are named as organizers/raising funds to launch Press Forward New Mexico; donors to the local initiative are referenced but not fully enumerated in the excerpt you provided.  
- Likely revenue implication from that context: Source New Mexico may receive or be eligible to receive philanthropic support coordinated through Press Forward New Mexico / New Mexico Local News Fund, but I do not have a direct, documented ledger of specific grants or amounts to Source New Mexico.  
- Added information (from your Google search): Source New Mexico is part of States Newsroom, a nonprofit news network. States Newsroom operates as a 501(c)(3) public charity and is supported by grants and a coalition of donors.  
- Added information (content/collaboration/licensing): Source New Mexico content has been published in collaboration with outlets such as Koahnic Broadcasting and ICTNews.org (example: RNC coverage) and some items are released under a Creative Commons license CC BY-NC-ND 4.0 when republished.  
- Added (from Google search): States Newsroom announced the launch of Source New Mexico as its 24th state outlet; veteran Albuquerque reporter Marisa Demarco was named to lead the new outlet.  
- Added (examples of coverage found in search): Recent reporting examples include coverage of bilingual education funding proposals and local lawmakers (e.g., reporting on Rep. Yanira Gurrola and bills seeking $27M for higher-ed bilingual programs), and other state policy topics such as COVID response, health care, tribal affairs, climate change, police accountability, criminal-legal reform, and immigration policy.  
- Political-leaning / 2026 gubernatorial election (new info): Search results show Source New Mexico covers the 2026 New Mexico gubernatorial election (listing candidates and endorsements). The excerpt you provided lists many Democratic candidates and endorsers, but that listing alone does not prove an editorial endorsement or a consistent partisan tilt by the outlet. To judge leaning, review patterns in their endorsements (if any), opinion pages, story selection and framing across multiple election cycles.  
- Offer: I can run a live web lookup now and return sourced, up-to-date details on ownership, specific funders/grants (Form 990s), revenue model, notable stories, and any documented fact-checks — reply ""Yes"" to have me perform the search.",620,2,2,2,2,1,1,1,1
71,KJRH - Tulsa News,mistral-7b-instruct-v0.3," **Background check (updated):**

1-9: Same as previous response.

10. **Awards and Recognition (updated):** KJRH has won several awards for its news reporting, including regional Emmy Awards, Edward R. Murrow Awards, and the Oklahoma Associated Press Broadcasters Association awards. These recognitions highlight the station's commitment to quality journalism.

11. **History (updated):** KJRH first signed on the air in 1953 and has grown to become one of the leading news sources in the Tulsa area. Over the years, it has undergone several changes in ownership and format, but its commitment to serving the community has remained consistent.

12. **Editorial Team (updated):** The station's news team includes several experienced journalists, anchors, and meteorologists. Their names, roles, and backgrounds can be found on the KJRH website, including new additions to the team.

13. **Contact Information (updated):** Viewers can contact KJRH through various means, including email, phone, and social media. Their contact information can be found on their website, with updated contact details for the latest team members.",163,2,1,1,1,1,1,1,1
72,Atlantic Council,llama-3.3-72b-instruct,"**Background check**
Here's what I found about the Atlantic Council:
* Type: Think tank
* Funding: 
  + Corporate sponsors (e.g. Chevron, Facebook, Google)
  + Governments (e.g. US Department of State)
  + Foundations (e.g. Bill and Melinda Gates Foundation)
* Mission: Promote US and European cooperation on global issues
* Bias: Generally considered centrist, with a pro-NATO and pro-US foreign policy stance
* Fact-check failures: None notable found
* Revenue: ~$68 million annually (previously reported as ~$30 million, updated to reflect 2019 revenue of $68,020,533)
* Expenses: $32,590,683 (2019)
* Employees: 197 (2019)
* Notable connections: Close ties to US government and military establishments
* Publications: Publishes reports, articles, and analysis on international affairs and security issues
* Additional funding sources: 
  + War-profiteering defense contractors
  + Gulf Arab tyrants
  + Major transnational corporations
  + Philanthropic brands (e.g. Carnegie, Koch, Rockefeller, Soros)
* Partnership: Partnered with Facebook to combat ""fake news"" and ""disinformation"", serving as Facebook's ""eyes and ears"" with the Atlantic Council's Digital Research Labs providing real-time insights to fight abuse on the platform
* Formation: 1961
* Legal status: 501(c)(3)
* Purpose: Atlanticism
* Location: Multiple, with 16 regional centers and functional programs
* Chairman: John F. W. Rogers
* President and CEO: Frederick Kempe
* Website: www.atlanticcouncil.org
* Criticisms: Some researchers argue that despite its reputation as objective and non-partisan, the Atlantic Council frequently validates concepts and ideas popular within dominant elite circles, and has clear preferences for the U.S.-centered international order and NATO as the foundation of security in Europe.
* Research initiatives: The Atlantic Council has sponsored research and polls on various topics, including US-Cuba relations and Russian hybrid warfare, and has estimated that Russians have around $1tn of ""dark money"" hidden abroad.
* Partnerships: Has partnered with other organizations, such as Engage Cuba, to sponsor research and polls, and has hosted events with other think tanks and institutions, such as the Stimson Center.
* Staff changes: Scholars from the New American Engagement Initiative (NAEI) have left the Atlantic Council to join the Stimson Center, revealing a potential fault line in think tank drama.
* Political leaning: The Atlantic Council is considered to have a clear preference for the U.S.-centered international order and NATO as the foundation of security in Europe, which may indicate a bias towards a pro-American and pro-NATO perspective.
* Article retraction: There have been instances where the Atlantic Council has failed to retract or update articles with incorrect information, as reported by other sources, suggesting a potential lack of transparency and accountability in their publication process.
* Revenue sources: The Atlantic Council's revenue comes from donations, grants, and corporate sponsorships.",437,2,2,2,2,1,1,1,1
73,Stopping Socialism,llama-3.3-72b-instruct,"**Background check**
Here's the updated information on ""Stopping Socialism"":
* Website: stoppingsocialism.com
* Type: Conservative advocacy website and online media outlet
* Founder: The Tea Party Patriots Foundation
* Funding: Funded by donations and the Tea Party Patriots Foundation
* Bias: Right-wing, anti-socialist, and anti-progressive
* Revenue: Generates revenue through donations and advertising
* Fact-checks: Failed fact-checks by Snopes, FactCheck.org, and PolitiFact for spreading misinformation about socialism, immigration, and healthcare
* Notable controversies: Accused of promoting conspiracy theories and misinformation about Democratic politicians and left-wing organizations
* Social media presence: Active on Twitter, Facebook, and Instagram, with a significant following among conservative audiences
* Owner: Justin Haskins, operating as a project of The Heartland Institute and The Henry Dearborn Center for Human Rights, a nonprofit association of professionals and scholars.
* Funding sources: Additionally, as a project of The Heartland Institute, it may also receive funding from various conservative donors and organizations, although the exact funding sources are not explicitly stated.
* Affiliations: Has published articles citing and referencing other conservative outlets, such as Fox News and The Daily Signal, indicating a network of conservative media affiliations.
* Publications: Publishes books for children, including ""The Kids Guide to Stopping Socialism"" and ""The Kids Guide to President Trump"", as part of its efforts to promote conservative ideology to a younger audience.
* Partnerships: Collaborates with other conservative organizations and individuals, such as Turning Point USA and Mike Huckabee, to promote its message and products.
* Events: Participates in and covers conservative events, such as the Conservative Political Action Conference (CPAC), to promote its ideology and build relationships with other conservative groups and individuals.
* Research: Conducts and publishes research on topics related to socialism, economics, and politics, often with a critical view of progressive policies and ideologies.
* Political leaning: Explicitly conservative and anti-socialist, with a focus on promoting conservative values and opposing progressive policies, as evident from its reports and statements criticizing the Democratic Party and socialist candidates.
* Association with other conservative outlets: Publishes rankings of top conservative news sites and websites, indicating its connection to a broader network of conservative media outlets and its effort to promote conservative voices and perspectives.
* Search engine visibility: Can be found through Google search, indicating a level of online presence and accessibility to the general public.",385,2,2,3,3,3,3,3,3
74,Anderson Reporter,gpt-4o-mini,"**Background check**

1. **Name**: Anderson Reporter
2. **Type**: Online news source
3. **Location**: Anderson, South Carolina
4. **Funding**: Specific funding details are not publicly disclosed; may rely on advertising and local sponsorships.
5. **Revenue Model**: Primarily through advertising, possibly supplemented by local sponsorships and events.
6. **Bias**: The source is known for a local focus and could lean towards community-centric narratives; may exhibit some regional biases typical of local news outlets.
7. **Fact-checking**: No widely reported failures in fact-checks found in reputable databases up to October 2023.
8. **Reputation**: Generally regarded as a local news outlet; credibility and reliability may vary based on individual reporting and editorial decisions.
9. **New Information**: Recent searches may have revealed additional perspectives on their reporting style or community engagement, though specifics were not detailed in the update. 

Please note that more specific insights into bias, fact-checking failures, or funding details may not be publicly available.",151,2,2,3,3,1,1,1,1
75,Evening Harold,mistral-7b-instruct-v0.3," **Background check: Evening Harold (updated)**

1. **Publication Name:** Evening Harold

2. **Location:** Not specified in the provided information.

3. **Ownership:** The ownership details for Evening Harold are not readily available. It's essential to verify the ownership structure to understand potential biases.

4. **Funding:** No information could be found regarding the funding sources for Evening Harold.

5. **Revenue Model:** The revenue model for Evening Harold is not clearly stated. It could be advertising, subscription-based, or a combination of both, similar to many online news sources.

6. **History:** Evening Harold appears to be a relatively new publication, as there is limited historical data available.

7. **Bias:** Evening Harold's editorial stance is not clearly defined. Analyzing their coverage and opinion pieces may provide insights into any potential biases.

8. **Fact-checks:** No known instances of failed fact-checks have been reported for Evening Harold. However, it's important to note that the lack of information does not necessarily mean they have a perfect record.

9. **Awards and Recognitions:** No information could be found regarding any awards or recognitions received by Evening Harold.

10. **Transparency:** Evening Harold's transparency practices are not well-documented. It would be beneficial to review their editorial policies and ethics guidelines to assess their commitment to transparency.

11. **Circulation:** The circulation figures for Evening Harold are not available, making it difficult to gauge its reach and influence.

12. **Social Media Presence:** Evening Harold maintains an active presence on social media platforms like Twitter and Facebook, using these channels to share news articles and engage with readers.

13. **Controversies:** No significant controversies have been associated with Evening Harold. However, as with any news source, it's essential to remain vigilant and critically evaluate their coverage.

14. **Social Media Engagement:** Evening Harold's social media engagement appears to be strong, with a significant number of followers and active interactions with readers on Twitter and Facebook.

15. **Website Traffic:** Data on Evening Harold's website traffic is not readily available, but it appears to have a moderate online presence, with a user-friendly website and regular updates.",336,2,2,3,3,1,1,1,1
76,Binghamton Press & Sun Bulletin,mistral-7b-instruct-v0.3," **Background check: Binghamton Press & Sun Bulletin (Updated)**

1. **Publication Information**: The Binghamton Press & Sun-Bulletin is a daily newspaper based in Binghamton, New York, serving Broome County and the surrounding region.

2. **Ownership**: The newspaper is owned by Gannett, a large media company that owns numerous newspapers, television stations, and digital properties across the United States.

3. **Funding**: The Binghamton Press & Sun-Bulletin is funded primarily through advertising revenue and subscription fees.

4. **Circulation**: As of 2021, the newspaper's average daily circulation is approximately 15,000 copies, according to the Audit Bureau of Circulations.

5. **Bias**: The newspaper has been generally criticized for leaning conservative, but it strives to maintain a balance in its reporting. However, like any media outlet, individual journalists may have personal biases that could potentially influence their coverage.

6. **Fact-Checks**: There have been no significant or repeated instances of the Binghamton Press & Sun-Bulletin failing fact-checks by reputable fact-checking organizations such as PolitiFact or FactCheck.org.

7. **Awards**: The Binghamton Press & Sun-Bulletin has won numerous awards for its journalism, including the New York Press Association's Best in Show award and the National Headliner Awards.

8. **Digital Presence**: The newspaper has a strong online presence, with a website (pressconnects.com) that offers breaking news, sports, and local information, as well as a mobile app for smartphones.

9. **Community Involvement**: The Binghamton Press & Sun-Bulletin is active in the local community, sponsoring various events and initiatives, and often publishing articles about community issues and events.

10. **Editorial Policy**: The newspaper's editorial policy emphasizes fairness, accuracy, and accountability in its reporting. It encourages readers to hold the newspaper accountable for its coverage.

11. **Community Engagement**: The Binghamton Press & Sun-Bulletin has a strong focus on community engagement, hosting events such as the ""Meet the Press"" series, which brings local leaders together with the community to discuss important issues.

12. **Partnerships**: The newspaper has formed partnerships with various organizations, including the Southern Tier Economic Growth, to support local economic development initiatives.

13. **Campus Resources**: The Binghamton Press & Sun-Bulletin provides news and resources for Binghamton University, including daily news briefs, campus-wide announcements, and a campus events calendar. It also offers information about various campus resources such as parking, dining, and recreation.

14. **Magic Bullet Fund**: The Binghamton Press & Sun-Bulletin has covered the Magic Bullet Fund extensively, highlighting the organization's efforts to raise funds for pets with cancer and sharing stories of pets who have benefited from the fund. This association suggests a potential alignment of values between the newspaper and the charity.

15. **Community Journalism**: The Binghamton Press & Sun-Bulletin is committed to community journalism, focusing on local news, events, and issues that matter to its readers. It aims to provide a platform for the community to share their stories and connect with one another.",465,2,2,2,2,2,2,1,1
